rho,tau,x1,x2,x3,loss,regime,congestion,revenue,pareto,pareto_sep
0.75,9.5,0.0,0.6302271597812802,0.3697728402187198,1.6298923757640132e-08,A2,24.683121664462384,0.0,0,0
0.5,6.0,0.0,0.3635424907595292,0.6364575092404707,9.882616094017184e-08,A1,24.52579650059417,0.0,0,0
0.5,6.5,0.0,0.3635491809287929,0.636450819071207,9.818750609318904e-08,A1,24.52566432043937,0.0,0,0
0.5,7.0,0.0,0.363542835416301,0.6364571645836989,9.879320850129221e-08,A1,24.525789690945736,0.0,0,0
0.5,7.5,0.0,0.3635467911108293,0.6364532088891707,9.84154028644175e-08,A1,24.525711536316145,0.0,0,0
0.5,8.0,0.0,0.3635477694784806,0.6364522305215194,9.832207204628181e-08,A1,24.525692206520493,0.0,0,0
0.5,8.5,0.0,0.3635447076317714,0.6364552923682286,9.861430367909908e-08,A1,24.52575270040697,0.0,0,0
0.25,9.5,0.0,0.296875,0.703125,7.838672170827834e-05,A1,22.842543843324272,0.0,1,1
0.25,9.0,0.0,0.28125,0.71875,5.811286565411704e-05,A1,22.932361642476145,0.0,1,1
0.25,8.5,0.0,0.265625,0.734375,4.059904660053204e-05,A1,23.031905560362908,0.0,1,1
0.25,8.0,0.0,0.1941804719995611,0.8058195280004388,9.96816751540466e-08,A1,23.623419695734043,0.0,0,0
0.25,7.5,0.0,0.1941790488954842,0.8058209511045158,9.960150548649473e-08,A1,23.62343390667893,0.0,0,0
0.25,7.0,0.0,0.1941779576761976,0.8058220423238024,9.954005406432025e-08,A1,23.62344480353298,0.0,0,0
0.25,6.0,0.0,0.1875051135067576,0.8124948864932423,8.012716579625634e-08,A1,23.691231379532606,0.0,0,0
0.25,5.5,0.0,0.1871463886250108,0.8128536113749892,9.949282783642829e-08,A1,23.694941247825103,0.0,0,0
0.25,5.0,0.0,0.1871473537506462,0.8128526462493537,9.943790087689453e-08,A1,23.69493125760325,0.0,0,0
0.25,4.5,0.0,0.187144175055001,0.812855824944999,9.961886351206173e-08,A1,23.694964161146466,0.0,0,0
0.25,4.0,0.0,0.187144212497554,0.8128557875024459,9.961673095068157e-08,A1,23.694963773565327,0.0,0,0
0.25,3.5,0.0,0.1871443719916048,0.8128556280083952,9.960764713561801e-08,A1,23.69496212258669,0.0,0,0
0.5,9.0,0.0,0.3635409819384559,0.636459018061544,9.897048358499265e-08,A1,24.52582631170541,0.0,0,0
0.5,9.5,0.0,0.3635481295091227,0.6364518704908773,9.828773834993766e-08,A1,24.5256850933568,0.0,0,0
0.75,8.0,0.0,0.6301922935369106,0.3698077064630893,4.952895766164118e-09,A2,24.684377791260708,0.0,0,0
0.75,8.5,0.0,0.6302138398397457,0.3697861601602543,1.1190073133129965e-08,A2,24.683601486072043,0.0,0,0
0.25,6.5,0.0,0.1941787261326155,0.8058212738673844,9.958332730660403e-08,A1,23.6234371297643,0.0,0,0
0.75,9.0,0.0,0.6302225482268898,0.3697774517731101,1.4421850118794952e-08,A2,24.68328777771319,0.0,0,0
0.25,3.0,0.0042119549228603,0.1887635864768581,0.8070244586002816,7.060521048916298e-08,B,23.635853317258984,1.4547671108067266,0,0
0.5,5.5,0.0120848975398656,0.3570433872938522,0.6308717151662822,1.7118376295534688e-08,B,24.418263980354894,7.652338395706026,0,0
0.25,0.5,0.2133549230899535,0.0383618307696651,0.7482832461403812,5.96903935687905e-08,B,23.38508187848168,12.281776147673176,0,0
0.25,2.5,0.0454074997883697,0.1665698863155386,0.7880226138960916,6.590705773480578e-08,B,23.46235658433721,13.069413626587531,0,0
0.75,7.5,0.0190155724220507,0.6113667931653809,0.3696176344125683,2.841305313764614e-09,B,24.679889731275026,16.41947139713031,0,0
0.5,5.0,0.0340448434231063,0.3408707028525886,0.625084453724305,2.1395847663297123e-11,B,24.31209223571755,19.59791411651117,0,0
0.25,1.0,0.1744257021081198,0.0749589787220085,0.7506153191698717,6.517165649872394e-08,B,23.304790737569984,20.081631083707837,0,0
0.25,2.0,0.0896035134924882,0.1399339189154147,0.770462567592097,7.772643065508702e-08,B,23.334827170705253,20.632105016780343,0,0
0.25,1.5,0.133442066509184,0.1091471615202904,0.7574107719705255,6.7162623207424e-08,B,23.281166671611185,23.044777675803537,1,1
0.5,0.5,0.4401678702154165,0.0459222623405138,0.5139098674440695,7.753668915252428e-08,B,23.38449343016057,25.338263448950453,0,0
0.5,4.5,0.06140114614148,0.3207221653766657,0.6178766884818542,3.536399576275408e-09,B,24.186574324213662,31.8110127987087,0,0
0.75,7.0,0.04308504385346,0.5882976534871103,0.3686173026594297,2.3947363835143945e-07,B,24.64760001502869,34.722667691942,0,0
0.75,0.5,0.6704443058940946,0.0535981435298031,0.2759575505761022,8.5797698040445e-08,B,23.409730985728338,38.594126468793554,0,1
0.5,4.0,0.0937995810744869,0.2968997905372434,0.6093006283882696,1.7680816290350363e-08,B,24.04710043842577,43.19658307642272,0,0
0.5,1.0,0.3808321420747702,0.0897022958624835,0.5294655620627462,7.822686718437023e-08,B,23.34738706904679,43.8452045170683,1,1
0.5,3.5,0.1309943032991384,0.269692229060776,0.5993134676400855,3.1023091756734965e-08,B,23.89850898566789,52.78480948590433,0,0
0.75,6.5,0.07147114671331,0.5611041512121717,0.3674247020745183,4.644521470761201e-09,B,24.61038032546589,53.48507528717199,0,0
0.5,1.5,0.3236261529101,0.1310914791819346,0.5452823679079652,7.672334025537717e-08,B,23.38369405600209,55.888618476809725,1,1
0.5,3.0,0.1728060138598882,0.2393418041579665,0.5878521819821453,4.150096509985101e-08,B,23.746941132467548,59.68546912706679,0,0
0.5,2.0,0.2694584421382271,0.1699097403563711,0.5606318175054017,6.077009943172328e-08,B,23.474940539011698,62.04550088674817,0,1
0.5,2.5,0.2190408795137597,0.206032018071309,0.5749271024149312,4.782478955829019e-08,B,23.601605760968734,63.0454411460479,0,1
0.75,1.0,0.5992444683474067,0.105303176310529,0.2954523553420642,9.52145533649765e-08,B,23.43847619743149,68.99101564083693,1,1
0.75,6.0,0.1038351483792626,0.5307527225688939,0.3654121290518434,3.3353253008608757e-10,B,24.547392848927785,71.72724379742704,0,0
0.75,5.5,0.1397525731109777,0.4974778304220755,0.3627695964669468,1.2043225281948358e-08,B,24.467470818808334,88.49342558246775,0,0
0.75,1.5,0.534875330163371,0.1554663842496197,0.3096582855870093,9.327963123579205e-08,B,23.518500476518238,92.37029514256336,1,1
0.75,5.0,0.1789320129166154,0.4616100107638461,0.3594579763195384,3.856055549706226e-08,B,24.37204392085728,103.00221323544966,0,0
0.75,2.0,0.475105948788264,0.204184324798044,0.3207097264136919,2.1452864202445583e-08,B,23.62224679686428,109.39789576798567,1,1
0.75,4.5,0.2210073345274764,0.4233261436248063,0.3556665218477172,4.336586816978888e-08,B,24.27027487559901,114.50058490866763,0,0
0.75,2.5,0.4183975362955259,0.2513403491580741,0.3302621145464,1.7101485481216147e-08,B,23.74972860184725,120.42527088425972,1,1
0.75,4.0,0.2661219489692674,0.3830609744846337,0.3508170765460988,6.233392671013889e-09,B,24.148806157519385,122.55447993932704,0,0
0.75,3.0,0.3647487984378016,0.2969246395313405,0.3383265620308577,8.66609941787065e-10,B,23.88518739830068,125.9805874924323,1,1
0.75,3.5,0.3140405549904638,0.3408768824962915,0.3450825625132447,3.85143086815926e-17,B,24.019194384868328,126.54421183618234,1,1
